Name	E1	E2	E3	E4	E5	
style1_content123057_gramMatrix_iteration100.png	-2.272368064878678	-4.228660151697486	-3.9772072774010487	-4.673737513758122	-4.740689923610599	
style1_content123057_gramMatrix_iteration1000.png	-1.0178536385536403	-2.5947220714692873	-2.912308258898332	-4.421250784258278	-4.984368376066752	
style1_content123057_Pearson_iteration100.png	-2.770302455615809	-4.642581959467065	-4.443106694934184	-5.434102984246774	-5.2784441334840295	
style1_content123057_Pearson_iteration1000.png	0.4685688308524939	-2.068963061623028	-2.9277007969614717	-4.635328484461396	-5.3583107754334565	
style1_content123057_Covariance_iteration100.png	-2.8742920527000737	-4.8246793485468	-4.384996444510475	-4.7889099391526795	-5.031403427493248	
style1_content123057_Covariance_iteration1000.png	-1.3197934235680857	-3.1375524112745747	-3.2878852469180604	-4.379593309067197	-5.10968834271109	
style1_content123057_CosineSimilarity_iteration100.png	-3.088139398764431	-5.046119152512279	-4.680044557906425	-5.5788832095081675	-5.275945765191276	
style1_content123057_CosineSimilarity_iteration1000.png	-2.7093660016599386	-4.481066530635836	-3.997003219949341	-4.92967205470399	-5.358846903636686	
style1_content123057_Euclidean_iteration100.png	-1.7506838003503136	-3.5693997642514113	-3.550195568265327	-4.885757250641025	-5.247484355	
style1_content123057_Euclidean_iteration1000.png	-0.3867224380771962	-2.3433708510484417	-3.0732183114363143	-4.668803081430273	-5.2999350292505625	
